CAPS categ.,Risk Group,Scientific name,Common Name,Model,Predicted pest impact in US,Prob pest will cause high impacts,Prob pest will cause mod impacts,Prob pest will cause low impacts,Primary host(s),"Other important hosts (alternate, secondary, etc)",States at risk,Non-plant impacts?,Date completed
,H,Tibraca limbativentris,Rice stalk stink bug,Arthropod,Low,1.9%,13.4%,84.7%,rice ,"Soybean, tomato, wheat, and other grasses (Poaceae). ","Northern California, eastern Texas, Louisiana, Arkansas, western Mississippi, southeastern Missouri, South Florida",No,4/14/2015
,H,Tortrix viridana,Green Oak Tortrix,Arthropod,Low,5.7%,30.0%,64.3%,oak,,All states,No,9/17/2018
,H,Uromyces gladioli,,Pathogen,Low,2.0%,24.0%,74.0%,,,,No,5/15/2024
,Predicted to be a low impact pest,,,,,,,,,,,,
,I,Acalolepta aesthetica,Queensland Longhorn Beetle,Arthropod,Low,3%,17%,80%,hibiscus,,"California, Texas, Florida",No,8/1/2022
,I,Aceria hibisci,Hibiscus erineum mite,Arthropod,Low,0%,3%,97%,hibiscus,,"California, Texas, Florida",No,7/23/2020
,I,Acrobasis pyrivorella,Pear fruit moth,Arthropod,Low,2.30%,15.20%,82.50%,pear,,"Wherever pears are grown, particularly Washington, Oregon, California, New York, Pennsylvania, Michigan",No,9/6/2019
,I,Aecidium mori,Mulberry leaf rust,Pathogen,Low,1.00%,13.00%,86.00%,mulberry,,All states except Alaska,No,11/2/2020
,I,Aleurocanthus spiniferus,Orange Spiny Whitefly,Arthropod,Low,3.00%,18.00%,79.00%,citrus,"grapes, hibiscus, pears, persimmons, roses","Arizona, California, Florida, Texas and other citrus growing areas",No,7/23/2020
,I,Amasa truncata,Keyhole ambrosia beetle,Arthropod,Low,0.00%,1.00%,99.00%,,,,No,7/14/2022
,I,Apscaviroid apple dimple fruit viroid ,Apple Dimple Fruit Viroid,Pathogen,Low,0.03%,0.40%,99.50%,apple,asymptomatic on pear and fig,"Arizona, California, Colorado, Connecticut, Idaho, Illinois, Indiana, Iowa, Maine, Maryland, Massachusetts, Michigan, Minnesota, Missouri, New Hampshire, New Jersey, New York, North Carolina, Ohio, Oregon, Pennsylvania, Rhode Island, Tennessee, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin",No,6/11/2019
,I,Archips xylosteanus (A. xylosteana),Variegated golden tortrix,Arthropod,Low,0.2%,1.8%,98.0%,polyphagous on broadleaf trees,"apple, hazelnut, pear, pistachio, Prunus, Rubus",All states,No,9/10/2018
,I,Argyresthia pruniella,Cherry blossom moth,Arthropod,Low,2.6%,17.3%,80.0%,"cherry, plum, and other stone fruits",,Most states,No,5/16/2018
