Source,Qualitative Impact Rating,Pest Scientific Name,Pest Common Name,Pest Type,Kingdom,Phylum/Div.,Class,Order,Family,Genus,Species,Subspecies,Authority
OPEP Non-Candidate Low Impact Pest (determined 11/14/24),Low,Paracoccus ferrisi,,Arthropod,Animalia,Arthropoda,Insecta,Hemiptera,Pseudococcidae,Paracoccus,ferrisi,,Ezzat & Mcconnell
OPEP Non-Candidate Low Impact Pest (determined 11/14/24),Low,Paracoccus mexicanus,,Arthropod,Animalia,Arthropoda,Insecta,Hemiptera,Pseudococcidae,Paracoccus,mexicanus,,Ezzat & McConnell
PPQ Program Pest (as of 11/6/24),High,Pectinophora gossypiella,pink bollworm,Arthropod,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechiidae,Pectinophora,gossypiella,,(Saunders)
USDA PPQ Select Agents,High,Peronosclerospora philippinensis,,Plant Disease,Chromista,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Peronosclerospora,philippinensis,,(W. Weston) C.G. Shaw
OPEP Non-Candidate Low Impact Pest (determined 11/14/24),Low,Phenacoccus franseriae,,Arthropod,Animalia,Arthropoda,Insecta,Hemiptera,Pseudococcidae,Phenacoccus,franseriae,,Ferris
PPQ Program Pest (as of 11/6/24),High,Phyllosticta citricarpa,Citrus black spot,Plant Disease,Fungi,Ascomycota,Dothideomycetes,Botryosphaeriales,Phyllostictaceae,Phyllosticta,citricarpa,,(McAlpine) Aa
PPQ Program Pest (as of 11/6/24),High,Phytophthora ramorum,sudden oak death,Plant Disease,Chromista,Oomycota,Peronosporea,Peronosporales,Peronosporaceae,Phytophthora,ramorum,,"Werres, De Cock & Man"
PPQ Program Pest (as of 11/6/24),High,Popillia japonica,Japanese Beetle,Arthropod,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Popillia,japonica,,Newman
PPQ Program Pest (as of 11/6/24),High,Potyvirus Plum Pox Virus,Plum pox virus (PPV),Plant Disease,Viruses,Pisuviricota,Stelpaviricetes,Patatavirales,Potyviridae,Potyvirus,Plum Pox Virus,,
PPQ Program Pest (as of 11/6/24),High,Puccinia graminis,Black stem rust,Plant Disease,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Pucciniaceae,Puccinia,graminis,,Pers.
PPQ Program Pest (as of 11/6/24),High,Puccinia horiana,Chrysanthemum white rust (CWR),Plant Disease,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Pucciniaceae,Puccinia,horiana,,Henn.
USDA PPQ Select Agents,High,Ralstonia solanacearum,,Plant Disease,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia,solanacearum,,(Smith) Yabuuchi et al.
OPEP Non-Candidate Low Impact Pest (determined 11/14/24),Low,Raoiella indica,,Arthropod,Animalia,Arthropoda,Arachnida,Trombidiformes,Tenuipalpidae,Raoiella,indica,,Hirst
USDA PPQ Select Agents,High,Rathayibacter toxicus,,Plant Disease,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Rathayibacter,toxicus,,"(Riley and Ophel, 1992) Sasaki et al., 1998"
PPQ Program Pest (as of 11/6/24),High,Rhagoletis,,Arthropod,Animalia,Arthropoda,Insecta,Diptera,Tephritidae,Rhagoletis,,,"Loew, 1862"
PPQ Program Pest (as of 11/6/24),High,Rhagoletis cerasi,European Cherry Fruit Fly,Arthropod,Animalia,Arthropoda,Insecta,Diptera,Tephritidae,Rhagoletis,cerasi,,(Linnaeus)
CAPS National Priority Mollusk List (as of 10/2/24),High,Sarasinula,Leatherleaf slugs,Mollusk,Animalia,Mollusca,Gastropoda,Systellommatophora,Veronicellidae,Sarasinula,,,"Grimpe & Hoffmann, 1924"
USDA PPQ Select Agents,High,Sclerophthora rayssiae,,Plant Disease,Chromista,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Sclerophthora,rayssiae,,
CAPS National Priority Mollusk List (as of 10/2/24),High,Semperula,Leatherleaf slugs,Mollusk,Animalia,Mollusca,Gastropoda,Systellommatophora,Veronicellidae,Semperula,,,"Grimpe & Hoffmann, 1924"
OPEP Non-Candidate Low Impact Pest (determined 11/14/24),Low,Sirex juvencus,,Arthropod,Animalia,Arthropoda,Insecta,Hymenoptera,Siricidae,Sirex,juvencus,,(Linnaeus)
PPQ Program Pest (as of 11/6/24),High,Solenopsis invicta,,Arthropod,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Solenopsis,invicta,,Buren
PPQ Program Pest (as of 11/6/24),High,Solenopsis richteri,,Arthropod,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Solenopsis,richteri,,Forel
